book,lex,sp,vs,vt,ctyp,ptyp,gloss
1_Chronicles,ו,conj,,,,,and
1_Chronicles,עיבל,nmpr,,,,,Ebal
1_Chronicles,שׁפי,nmpr,,,,,Shephi
1_Chronicles,ו,conj,,,,,and
1_Chronicles,אונם,nmpr,,,,,Onam
1_Chronicles,ו,conj,,,NmCl,CP,and
1_Chronicles,בן,subs,,,,NP,son
1_Chronicles,צבעון,nmpr,,,,,Zibeon
1_Chronicles,איה,nmpr,,,,PrNP,Ayyah
1_Chronicles,ו,conj,,,,,and
1_Chronicles,ענה,nmpr,,,,,Anah
1_Chronicles,בן,subs,,,NmCl,NP,son
1_Chronicles,ענה,nmpr,,,,,Anah
1_Chronicles,דישׁון,nmpr,,,,PrNP,Dishon
1_Chronicles,ו,conj,,,NmCl,CP,and
1_Chronicles,בן,subs,,,,NP,son
1_Chronicles,דישׁון,nmpr,,,,,Dishon
1_Chronicles,חמרן,nmpr,,,,PrNP,Hemdan
1_Chronicles,ו,conj,,,,,and
1_Chronicles,אשׁבן,nmpr,,,,,Eshban
1_Chronicles,ו,conj,,,,,and
1_Chronicles,יתרן,nmpr,,,,,Ithran
1_Chronicles,ו,conj,,,,,and
1_Chronicles,כרן,nmpr,,,,,Keran
1_Chronicles,בן,subs,,,NmCl,NP,son
1_Chronicles,אצר,nmpr,,,,,Ezer
1_Chronicles,בלהן,nmpr,,,,PrNP,Bilhan
1_Chronicles,ו,conj,,,,,and
1_Chronicles,זעון,nmpr,,,,,Zaavan
1_Chronicles,יעקן,nmpr,,,,,Jaakan
1_Chronicles,בן,subs,,,NmCl,NP,son
1_Chronicles,דישׁון,nmpr,,,,,Dishon
1_Chronicles,עוץ,nmpr,,,,PrNP,Uz
1_Chronicles,ו,conj,,,,,and
1_Chronicles,ארן,nmpr,,,,,Aran
1_Chronicles,ו,conj,,,NmCl,CP,and
1_Chronicles,אלה,prde,,,,DPrP,these
1_Chronicles,ה,art,,,,NP,the
1_Chronicles,מלך,subs,,,,,king
1_Chronicles,אשׁר,conj,,,xQt0,CP,<relative>
1_Chronicles,מלך,verb,qal,perf,,VP,be king
1_Chronicles,ב,prep,,,,PP,in
1_Chronicles,ארץ,subs,,,,,earth
1_Chronicles,אדום,nmpr,,,,,Edom
1_Chronicles,ל,prep,,,InfC,VP,to
1_Chronicles,פנה,subs,,,,,face
1_Chronicles,מלך,verb,qal,infc,,,be king
1_Chronicles,מלך,subs,,,,NP,king
1_Chronicles,ל,prep,,,,PP,to
1_Chronicles,בן,subs,,,,,son
1_Chronicles,ישׂראל,nmpr,,,,,Israel
1_Chronicles,בלע,nmpr,,,NmCl,PrNP,Bela
1_Chronicles,בן,subs,,,,,son
1_Chronicles,בעור,nmpr,,,,,Beor
1_Chronicles,ו,conj,,,NmCl,CP,and
1_Chronicles,שׁם,subs,,,,NP,name
1_Chronicles,עיר,subs,,,,,town
1_Chronicles,דנהבה,nmpr,,,,PrNP,Dinhabah
1_Chronicles,ו,conj,,,WayX,CP,and
1_Chronicles,מות,verb,qal,wayq,,VP,die
1_Chronicles,בלע,nmpr,,,,PrNP,Bela
1_Chronicles,ו,conj,,,WayX,CP,and
1_Chronicles,מלך,verb,qal,wayq,,VP,be king
1_Chronicles,תחת,subs,,,,PP,under part
1_Chronicles,יובב,nmpr,,,,PrNP,<king>
1_Chronicles,בן,subs,,,,,son
1_Chronicles,זרח,nmpr,,,,,Zerah
1_Chronicles,מן,prep,,,,,from
1_Chronicles,בצרה,nmpr,,,,,Bozrah
1_Chronicles,ו,conj,,,WayX,CP,and
1_Chronicles,מות,verb,qal,wayq,,VP,die
1_Chronicles,יובב,nmpr,,,,PrNP,<king>
1_Chronicles,ו,conj,,,WayX,CP,and
1_Chronicles,מלך,verb,qal,wayq,,VP,be king
1_Chronicles,תחת,subs,,,,PP,under part
1_Chronicles,חשׁם,nmpr,,,,PrNP,Husham
1_Chronicles,מן,prep,,,,,from
1_Chronicles,ארץ,subs,,,,,earth
1_Chronicles,ה,art,,,,,the
1_Chronicles,תימני,adjv,,,,,Temanite
1_Chronicles,ו,conj,,,WayX,CP,and
1_Chronicles,מות,verb,qal,wayq,,VP,die
1_Chronicles,חשׁם,nmpr,,,,PrNP,Husham
1_Chronicles,ו,conj,,,WayX,CP,and
1_Chronicles,מלך,verb,qal,wayq,,VP,be king
1_Chronicles,תחת,subs,,,,PP,under part
1_Chronicles,הדד,nmpr,,,,PrNP,Hadad
1_Chronicles,בן,subs,,,,,son
1_Chronicles,בדד,nmpr,,,,,Bedad
1_Chronicles,ה,art,,,Ptcp,CP,the
1_Chronicles,נכה,verb,hif,ptca,,VP,strike
1_Chronicles,את,prep,,,,PP,<object marker>
1_Chronicles,מדין,nmpr,,,,,Midian
1_Chronicles,ב,prep,,,,PP,in
1_Chronicles,שׂדה,subs,,,,,open field
1_Chronicles,מואב,nmpr,,,,,Moab
