book,lex,sp,vs,vt,ctyp,ptyp,gloss
2_Samuel,בין,subs,,,,PP,interval
2_Samuel,טוב,adjv,,,,,good
2_Samuel,ל,prep,,,,,to
2_Samuel,רע,adjv,,,,,evil
2_Samuel,אם,conj,,,xYqX,CP,if
2_Samuel,טעם,verb,qal,impf,,VP,taste
2_Samuel,עבד,subs,,,,NP,servant
2_Samuel,את,prep,,,xYq0,CP,<object marker>
2_Samuel,אשׁר,conj,,,,,<relative>
2_Samuel,אכל,verb,qal,impf,,VP,eat
2_Samuel,ו,conj,,,WxY0,CP,and
2_Samuel,את,prep,,,,CP,<object marker>
2_Samuel,אשׁר,conj,,,,,<relative>
2_Samuel,שׁתה,verb,qal,impf,,VP,drink
2_Samuel,אם,conj,,,xYq0,CP,if
2_Samuel,שׁמע,verb,qal,impf,,VP,hear
2_Samuel,עוד,subs,,,,AdvP,duration
2_Samuel,ב,prep,,,,PP,in
2_Samuel,קול,subs,,,,,sound
2_Samuel,שׁיר,verb,qal,ptca,,,sing
2_Samuel,ו,conj,,,,,and
2_Samuel,שׁיר,verb,qal,ptca,,,sing
2_Samuel,ו,conj,,,WxYX,CP,and
2_Samuel,למה,inrg,,,,InrP,why
2_Samuel,היה,verb,qal,impf,,VP,be
