book,lex,sp,vs,vt,ctyp,cnode,ptyp,gloss,speaker,ttype,clausespeaker,clausettype
Esther1:3,מדינה,subs,,,,,,district,author,description,,
Esther1:3,ל,prep,,,,,,to,author,description,,
Esther1:3,פנה,subs,,,,,,face,author,description,,
Esther1:4,ב,prep,,,InfC,505285,VP,in,author,description,author,description
Esther1:4,ראה,verb,hif,infc,,,,see,author,description,,
Esther1:4,את,prep,,,,,PP,<object marker>,author,description,,
Esther1:4,עשׁר,subs,,,,,,riches,author,description,,
Esther1:4,כבוד,subs,,,,,,weight,author,description,,
Esther1:4,מלכות,subs,,,,,,kingship,author,description,,
Esther1:4,ו,conj,,,,,,and,author,description,,
Esther1:4,את,prep,,,,,,<object marker>,author,description,,
Esther1:4,יקר,subs,,,,,,preciousness,author,description,,
Esther1:4,תפארת,subs,,,,,,splendour,author,description,,
Esther1:4,גדולה,subs,,,,,,greatness,author,description,,
Esther1:4,יום,subs,,,,,NP,day,author,description,,
Esther1:4,רב,adjv,,,,,,much,author,description,,
Esther1:4,שׁמנה,subs,,,,,,eight,author,description,,
Esther1:4,ו,conj,,,,,,and,author,description,,
Esther1:4,מאה,subs,,,,,,hundred,author,description,,
Esther1:4,יום,subs,,,,,,day,author,description,,
Esther1:5,ו,conj,,,WxQX,505286,CP,and,author,description,author,description
Esther1:5,ב,prep,,,InfC,505287,VP,in,author,description,author,description
Esther1:5,מלא,verb,qal,infc,,,,be full,author,description,,
Esther1:5,ה,art,,,,,NP,the,author,description,,
Esther1:5,יום,subs,,,,,,day,author,description,,
Esther1:5,ה,art,,,,,,the,author,description,,
Esther1:5,אלה,prde,,,,,,these,author,description,,
Esther1:5,עשׂה,verb,qal,perf,WxQX,505286,VP,make,author,description,author,description
Esther1:5,ה,art,,,,,NP,the,author,description,,
Esther1:5,מלך,subs,,,,,,king,author,description,,
Esther1:5,ל,prep,,,,,PP,to,author,description,,
Esther1:5,כל,subs,,,,,,whole,author,description,,
Esther1:5,ה,art,,,,,,the,author,description,,
Esther1:5,עם,subs,,,,,,people,author,description,,
Esther1:5,ה,art,,,Ptcp,505288,CP,the,author,description,author,description
Esther1:5,מצא,verb,nif,ptca,,,VP,find,author,description,,
Esther1:5,ב,prep,,,,,PP,in,author,description,,
Esther1:5,שׁושׁן,nmpr,,,,,,Susa,author,description,,
Esther1:5,ה,art,,,,,,the,author,description,,
Esther1:5,בירה,subs,,,,,,citadel,author,description,,
Esther1:5,ל,prep,,,WxQX,505286,PP,to,author,description,author,description
Esther1:5,מן,prep,,,,,,from,author,description,,
Esther1:5,גדול,adjv,,,,,,great,author,description,,
Esther1:5,ו,conj,,,,,,and,author,description,,
Esther1:5,עד,prep,,,,,,unto,author,description,,
Esther1:5,קטן,adjv,,,,,,small,author,description,,
Esther1:5,משׁתה,subs,,,,,NP,drinking,author,description,,
Esther1:5,שׁבע,subs,,,,,NP,seven,author,description,,
Esther1:5,יום,subs,,,,,,day,author,description,,
Esther1:5,ב,prep,,,,,PP,in,author,description,,
Esther1:5,חצר,subs,,,,,,court,author,description,,
